Structure of LiMn2O4
 
      52    atoms
 
         3    atom types
 
       0.000000      8.2500000 xlo xhi
       0.000000      8.2500000 ylo yhi
       0.000000      8.2500000 zlo zhi
 
              Masses
 
         1            6.941
         2           54.938
         3           15.999
               Atoms

 1 1 4.11085 4.10814 0.00177939         
 2 1 8.23585 4.10814 4.12677
 3 1 4.11085 8.23315 4.12677
 4 1 6.17335 2.04564 6.18928
 5 2 1.0171 1.0144 5.15803
 6 2 5.14211 5.13939 5.15802
 7 2 7.2046 3.07689 1.03302
 8 2 3.0796 5.1394 3.09552
 9 2 3.07961 1.01439 7.22052
10 2 5.14211 7.20189 7.22052
11 2 1.0171 7.2019 3.09552
12 2 5.1421 1.01438 1.03302
13 2 3.0796 3.0769 5.15802
14 2 7.2046 5.13938 7.22052
15 2 1.0171 5.13939 1.03302
16 2 5.14209 3.07689 3.09552
17 2 7.20461 7.20189 5.15802
18 2 3.0796 7.20189 1.03302
19 2 1.01711 3.0769 7.22052
20 2 7.2046 1.01439 3.09553
21 3 1.02723 1.02452 3.08539
22 3 7.19448 3.06676 7.2104
23 3 3.06948 5.14952 5.16815
24 3 5.15223 7.19176 1.04315
25 3 3.06948 1.02452 1.04315
26 3 7.19447 7.19176 3.0854
27 3 5.15224 3.06676 5.16815
28 3 1.02724 5.14952 7.21039
29 3 1.02723 3.06676 1.04315
30 3 3.06948 7.19176 7.2104
31 3 3.06947 3.06676 3.08539
32 3 5.15223 5.14952 3.08539
33 3 7.19448 1.02452 5.16816
34 3 7.21473 3.08702 3.10565
35 3 7.21473 7.21201 7.23065
36 3 1.00698 1.00426 7.23065
37 3 3.08973 5.12926 1.0229
38 3 5.13198 7.21202 5.1479
39 3 7.21473 5.12926 5.14789
40 3 5.13197 1.00427 3.10565
41 3 1.00697 7.21202 1.0229
42 3 3.08974 3.08702 7.23065
43 3 1.00698 3.08702 5.1479
44 3 5.13198 5.12926 7.23065
45 3 3.08973 7.21202 3.10565
46 3 7.21473 1.00426 1.0229
47 3 5.13197 3.08701 1.0229
48 3 1.00697 5.12927 3.10565
49 3 3.08973 1.00427 5.1479
50 3 7.19447 5.14952 1.04315
51 3 5.15224 1.02451 7.2104
52 3 1.02724 7.19177 5.16815       
